id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20607544,http://www.catalog.slsa.sa.gov.au/record=b2060754,http://www.catalog.slsa.sa.gov.au/xrecord=b2060754,"State Library of South Australia, photographer",Robert Street,1955,Photograph  14.3 cm x 8.3 cm,"Robert Street, west side, 30 March 1955",,http://images.slsa.sa.gov.au/mpcimg/13250/B13183.jpg,347
b20607556,http://www.catalog.slsa.sa.gov.au/record=b2060755,http://www.catalog.slsa.sa.gov.au/xrecord=b2060755,"State Library of South Australia, photographer",Wakefield Street,1958,Photograph  14.1 cm x 8.0 cm,"Wakefield Street, south side, 3 April 1958, left side of Haussen and Co's building is 11 1/4 yards west of Robert Street, frontage of building is 19 yards",,http://images.slsa.sa.gov.au/mpcimg/14250/B14054.jpg,347
b20607581,http://www.catalog.slsa.sa.gov.au/record=b2060758,http://www.catalog.slsa.sa.gov.au/xrecord=b2060758,"State Library of South Australia, photographer",Robert Street,1971,Photograph  20.7 cm x 15.1 cm,"11-19 Robert Street, west side, looking north, 19 November 1971. Northern boundary 25 1/3 yards south of Wakefield Street. Frontage: 35 yards",,http://images.slsa.sa.gov.au/mpcimg/25250/B25016.jpg,347
b20607593,http://www.catalog.slsa.sa.gov.au/record=b2060759,http://www.catalog.slsa.sa.gov.au/xrecord=b2060759,"State Library of South Australia, photographer","Wakefield Street, South Side",1972,Photograph  21 cm x 16 cm,"Wakefield Street, south side, 12 May 1972. Right side of the building is 28 2/3 yards east of Cypress Street. Wakefield Street frontage is 19 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/27000/B26869.jpg,347
b2060760x,http://www.catalog.slsa.sa.gov.au/record=b2060760,http://www.catalog.slsa.sa.gov.au/xrecord=b2060760,"State Library of South Australia, photographer","Wakefield Street, South Side",1972,Photograph  21 cm x 16 cm,"Wakefield Street, south side, 12 May 1972. Right side of building is 28 2/3 yards east of Cypress Street. Wakefield Street frontage is 19 1/ 3 yards",,http://images.slsa.sa.gov.au/mpcimg/27000/B26870.jpg,347
b20607611,http://www.catalog.slsa.sa.gov.au/record=b2060761,http://www.catalog.slsa.sa.gov.au/xrecord=b2060761,"State Library of South Australia, photographer","Wakefield Street, South Side",1972,Photograph  21 cm x 16 cm,"Wakefield Street, south side, 12 May 1972. Right side of building is 28 2/3 yards east of Cypress Street. Wakefield Street frontage is 19 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/27000/B26871.jpg,347
b20607635,http://www.catalog.slsa.sa.gov.au/record=b2060763,http://www.catalog.slsa.sa.gov.au/xrecord=b2060763,"State Library of South Australia, photographer","Wakefield Street, South Side",1980,Photograph,"Wakefield Street, south side, 20 May 1980. Left side abuts Frome Road. Wakefield Street frontage is 49 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/38500/B38280.jpg,347
b20607647,http://www.catalog.slsa.sa.gov.au/record=b2060764,http://www.catalog.slsa.sa.gov.au/xrecord=b2060764,"State Library of South Australia, photographer","Wakefield Street, South Side",1980,photograph,"Wakefield Street, south side, 20 May 1980. Left side abuts Frome Road. Wakefield Street frontage is 49 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/38500/B38281.jpg,347
b20607659,http://www.catalog.slsa.sa.gov.au/record=b2060765,http://www.catalog.slsa.sa.gov.au/xrecord=b2060765,"State Library of South Australia, photographer","Wakefield Street, South Side",1980,photograph,"Wakefield Street, south side, 20 May 1980",,http://images.slsa.sa.gov.au/mpcimg/38500/B38282.jpg,347
b20607337,http://www.catalog.slsa.sa.gov.au/record=b2060733,http://www.catalog.slsa.sa.gov.au/xrecord=b2060733,"State Library of South Australia, photographer",Wakefield Street,1968,Photographs  21 cm x 16 cm,"Wakefield Street, south side, 26 April 1968, Wakefield Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_1.jpg,346
b20607349,http://www.catalog.slsa.sa.gov.au/record=b2060734,http://www.catalog.slsa.sa.gov.au/xrecord=b2060734,"State Library of South Australia, photographer",Wakefield Street,1968,Photographs  21 cm x 16 cm,"Wakefield Street, south side, 26 April 1968, Wakefield Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_2.jpg,346
b20607350,http://www.catalog.slsa.sa.gov.au/record=b2060735,http://www.catalog.slsa.sa.gov.au/xrecord=b2060735,"State Library of South Australia, photographer",Wakefield Street,1968,Photographs  21 cm x 16 cm,"Wakefield Street, south side, 26 April 1968, Wakefield Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_3.jpg,346
b20607362,http://www.catalog.slsa.sa.gov.au/record=b2060736,http://www.catalog.slsa.sa.gov.au/xrecord=b2060736,"State Library of South Australia, photographer",Cypress Street,1968,Photographs  21 cm x 16 cm,"Cypress Street, eastside, 26 April 1968, left side of building abuts Wakefield Street, Wakefield Street frontage is 60 2/3 yards and Cypress Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_4.jpg,346
b20607374,http://www.catalog.slsa.sa.gov.au/record=b2060737,http://www.catalog.slsa.sa.gov.au/xrecord=b2060737,"State Library of South Australia, photographer",Cypress Street,1968,Photographs  21 cm x 16 cm,"Cypress Street, east side, 26 April 1968, Wakefield Street frontage is 60 2/3 yards and Cypress Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_5.jpg,346
b20607386,http://www.catalog.slsa.sa.gov.au/record=b2060738,http://www.catalog.slsa.sa.gov.au/xrecord=b2060738,"State Library of South Australia, photographer",Cypress Street,1968,Photographs  21 cm x 16 cm,"Cypress Street, east side, 26 April 1968, Wakefield Street frontage is 60 2/3 yards and Cypress Street frontage is 60 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/18000/B17822_6.jpg,346
b20607490,http://www.catalog.slsa.sa.gov.au/record=b2060749,http://www.catalog.slsa.sa.gov.au/xrecord=b2060749,"State Library of South Australia, photographer",Wakefield Street,1986,C1;Photograph (b&w print)  16.5 cm x 21.5 cm,"Wakefield Street, south side, 1986, right side abuts Cypress Street",,http://images.slsa.sa.gov.au/mpcimg/47250/B47205.jpg,346
b20607209,http://www.catalog.slsa.sa.gov.au/record=b2060720,http://www.catalog.slsa.sa.gov.au/xrecord=b2060720,"State Library of South Australia, photographer",Hanson Street,1952,Photograph  14.6 cm x 8.3 cm,"Hanson Street, east side, 30 December 1952, from Century Motors to right side of Precision Engineers is 45.5 yards",,http://images.slsa.sa.gov.au/mpcimg/12500/B12464.jpg,345
